,Name,gender,is alive,age,Death_Probability
3535,Brett Butler,Female,yes,56,0.00495
3545,Judith Butler,Female,yes,58,0.00604
3547,Octavia Butler,Female,no,59,0.006659999999999999
3552,Yancy Butler,Female,yes,44,0.0019
3567,Sarah Buxton,Female,yes,49,0.0026100000000000003
3568,Margherita Buy,Female,yes,52,0.0033200000000000005
3572,Ruth Buzzi,Female,yes,78,0.040310000000000006
3573,A. S. Byatt,Female,yes,78,0.040310000000000006
3580,Amanda Bynes,Female,yes,28,0.0005200000000000001
3581,Juanita Bynum,Female,yes,55,0.00447
3592,Jane Byrne,Female,yes,80,0.04965
3593,Leslie L. Byrne,Female,yes,68,0.01594
3594,Patricia M. Byrne,Female,no,82,0.06182000000000001
3595,Rose Byrne,Female,yes,35,0.0009400000000000001
3601,Beverly B. Byron,Female,yes,82,0.06182000000000001
3602,Kari Byron,Female,yes,40,0.00146
3603,Katharine Byron,Female,no,73,0.02511
3604,Kathleen Byron,Female,no,88,0.11955
3609,Montserrat Caballé,Female,yes,81,0.055420000000000004
3614,Meg Cabot,Female,yes,47,0.00229
3616,Susan Cabot,Female,no,59,0.006659999999999999
3632,Debra A. Cafaro,Female,yes,57,0.00547
3634,Charlotte Caffey,Female,yes,61,0.00811
3635,Julie Cafritz,Female,yes,49,0.0026100000000000003
3644,Colbie Caillat,Female,yes,29,0.00055
3657,Sila Calderón,Female,yes,72,0.023030000000000002
3659,Mary Calderone,Female,no,94,0.22268000000000002
3660,Helen Caldicott,Female,yes,76,0.03305
3664,Sarah Caldwell,Female,no,82,0.06182000000000001
3665,Zoe Caldwell,Female,yes,81,0.055420000000000004
3670,Monica Calhoun,Female,yes,43,0.0018
3677,Hortense Calisher,Female,no,98,0.30287
3681,Consuelo M. Callahan,Female,yes,64,0.010879999999999999
3683,K Callan,Female,yes,72,0.023030000000000002
3689,Sarah Wayne Callies,Female,yes,37,0.0011300000000000001
3693,Vanessa Bell Calloway,Female,yes,57,0.00547
3697,Phyllis Calvert,Female,no,87,0.10690999999999999
3698,Corinne Calvet,Female,no,76,0.03305
3703,Corinne Camacho,Female,no,68,0.01594
3709,Candace Cameron,Female,yes,38,0.00124
3716,Samantha Cameron,Female,yes,43,0.0018
3720,Colleen Camp,Female,yes,61,0.00811
3731,Beatrice Campbell,Female,no,57,0.00547
3748,Julia Campbell,Female,yes,51,0.0030399999999999997
3750,Kim Campbell,Female,yes,67,0.01456
3753,Louise Campbell,Female,no,86,0.09561
3755,Maia Campbell,Female,yes,38,0.00124
3760,Naomi Campbell,Female,yes,44,0.0019
3761,Nell Campbell,Female,yes,61,0.00811
3762,Neve Campbell,Female,yes,41,0.00158
3766,Tisha Campbell,Female,yes,46,0.00214
3771,Jane Campion,Female,yes,60,0.00734
3780,Gianna Maria Canale,Female,yes,87,0.10690999999999999
3791,Trishelle Cannatella,Female,yes,35,0.0009400000000000001
3796,Dyan Cannon,Female,yes,77,0.036489999999999995
3798,Katherine Cannon,Female,yes,61,0.00811
3803,Diana Canova,Female,yes,61,0.00811
3804,Judy Canova,Female,no,70,0.019119999999999998
3813,Blu Cantrell,Female,yes,38,0.00124
3815,Maria Cantwell,Female,yes,56,0.00495
3817,Christy Canyon,Female,yes,48,0.00244
3825,Shelley Moore Capito,Female,yes,61,0.00811
3826,Lizzy Caplan,Female,yes,32,0.0007
3827,Twink Caplan,Female,yes,67,0.01456
3832,Lois Capps,Female,yes,76,0.03305
3837,Ahna Capri,Female,no,66,0.01325
3838,Jennifer Capriati,Female,yes,38,0.00124
3839,Jessica Capshaw,Female,yes,38,0.00124
3840,Kate Capshaw,Female,yes,61,0.00811
3842,Capucine,Female,no,62,0.00895
3844,Irene Cara,Female,yes,55,0.00447
3847,Gia Carangi,Female,no,26,0.00045999999999999996
3853,Linda Cardellini,Female,yes,39,0.00134
3861,Claudia Cardinale,Female,yes,76,0.03305
3867,Ernestine Gilbreth Carey,Female,no,98,0.30287
3872,Mary Carey,Female,yes,34,0.00086
3873,Michele Carey,Female,yes,71,0.02103
3880,Gia Carides,Female,yes,50,0.00281
3882,Mary Carillo,Female,yes,57,0.00547
3888,Brandi Carlile,Female,yes,33,0.0007700000000000001
3891,Belinda Carlisle,Female,yes,56,0.00495
3892,Kitty Carlisle,Female,no,97,0.28359
3893,Mary Carlisle,Female,yes,102,0.38237
3897,Amy Carlson,Female,yes,46,0.00214
3902,Kelly Carlson,Female,yes,38,0.00124
3909,Vanessa Carlton,Female,yes,34,0.00086
3918,Julie Carmen,Female,yes,60,0.00734
3922,Jean Carnahan,Female,yes,81,0.055420000000000004
3925,Robin Carnahan,Female,yes,53,0.00365
3927,Judy Carne,Female,yes,75,0.02998
3929,JoAnne Carner,Female,yes,75,0.02998
3931,Kim Carnes,Female,yes,68,0.01594
3941,Martine Carol,Female,no,47,0.00229
3942,Princess Caroline,Female,yes,57,0.00547
3944,Leslie Caron,Female,yes,83,0.06888
3949,Charisma Carpenter,Female,yes,44,0.0019
3950,Jennifer Carpenter,Female,yes,35,0.0009400000000000001
3952,Karen Carpenter,Female,no,33,0.0007700000000000001
3953,Mary Chapin Carpenter,Female,yes,56,0.00495
3959,Darleen Carr,Female,yes,64,0.010879999999999999
3968,Vikki Carr,Female,yes,73,0.02511
3969,Raffaella Carrà,Female,yes,71,0.02103
3976,Asia Carrera,Female,yes,41,0.00158
3978,Tia Carrere,Female,yes,47,0.00229
3982,Leonora Carrington,Female,no,94,0.22268000000000002
3985,Cath Carroll,Female,yes,54,0.00403
3986,Diahann Carroll,Female,yes,79,0.04462
3987,Janet Carroll,Female,no,72,0.023030000000000002
3992,Madeleine Carroll,Female,no,81,0.055420000000000004
3993,Nancy Carroll,Female,no,62,0.00895
3994,Pat Carroll,Female,yes,87,0.10690999999999999
4009,Jean Carson,Female,no,82,0.06182000000000001
4012,Julia Carson,Female,no,69,0.017419999999999998
4013,Lisa Nicole Carson,Female,yes,45,0.00201
4014,Rachel Carson,Female,no,57,0.00547
4023,Amy Carter,Female,yes,47,0.00229
4024,Angela Carter,Female,no,52,0.0033200000000000005
4027,Betty Carter,Female,no,69,0.017419999999999998
4033,Dixie Carter,Female,no,71,0.02103
4037,Helena Carter,Female,no,77,0.036489999999999995
4038,Helena Bonham Carter,Female,yes,48,0.00244
4045,Janis Carter,Female,no,81,0.055420000000000004
4053,Lynda Carter,Female,yes,63,0.00987
4055,Nell Carter,Female,no,55,0.00447
4058,Rosalynn Carter,Female,yes,87,0.10690999999999999
4059,Sarah Carter,Female,yes,34,0.00086
4063,Gabrielle Carteris,Female,yes,53,0.00365
4065,Barbara Cartland,Female,no,99,0.32105
4066,Katrin Cartlidge,Female,no,41,0.00158
4068,Angela Cartwright,Female,yes,62,0.00895
4069,Bec Cartwright,Female,yes,31,0.00064
4070,Nancy Cartwright,Female,yes,55,0.00447
4072,Veronica Cartwright,Female,yes,64,0.010879999999999999
4079,Lynne Carver,Female,no,46,0.00214
4087,Deanna Casaluce,Female,yes,28,0.0005200000000000001
4089,Amira Casar,Female,yes,43,0.0018
4091,María Casares,Female,no,74,0.027360000000000002
4094,Neko Case,Female,yes,44,0.0019
4095,Sharon Case,Female,yes,43,0.0018
4105,Kathleen L. Casey,Female,yes,48,0.00244
4106,Mary Ann Casey,Female,yes,65,0.01201
4110,June Carter Cash,Female,no,74,0.027360000000000002
4112,Rosalind Cash,Female,no,57,0.00547
4113,Rosanne Cash,Female,yes,59,0.006659999999999999
4114,Tabatha Cash,Female,yes,41,0.00158
4117,Kimberly A. Casiano,Female,yes,57,0.00547
4125,Mama Cass,Female,no,33,0.0007700000000000001
4126,Peggy Cass,Female,no,75,0.02998
4127,Carolyn Cassady,Female,no,90,0.14886
4137,Eva Cassidy,Female,no,33,0.0007700000000000001
4139,Joanna Cassidy,Female,yes,69,0.017419999999999998
4140,Katie Cassidy,Female,yes,28,0.0005200000000000001
4144,Cassie,Female,yes,28,0.0005200000000000001
4148,Laetitia Casta,Female,yes,36,0.0010400000000000001
4149,Bruna Castagna,Female,no,78,0.040310000000000006
4160,Peggie Castle,Female,no,46,0.00214
4162,Keisha Castle-Hughes,Female,yes,24,0.00044
4164,Kathy Castor,Female,yes,48,0.00244
4171,Darlene Cates,Female,yes,67,0.01456
4172,Georgina Cates,Female,yes,39,0.00134
4174,Phoebe Cates,Female,yes,51,0.0030399999999999997
4185,Kim Cattrall,Female,yes,58,0.00604
4186,Emma Caulfield,Female,yes,41,0.00158
4187,Joan Caulfield,Female,no,69,0.017419999999999998
4189,Tracy Caulkins,Female,yes,51,0.0030399999999999997
4194,Kristin Cavallari,Female,yes,27,0.00049
4203,Ingrid Caven,Female,yes,76,0.03305
4236,Exene Cervenka,Female,yes,58,0.00604
4241,Lacey Chabert,Female,yes,32,0.0007
4249,Suzy Chaffee,Female,yes,68,0.01594
4259,Sarah Chalke,Female,yes,38,0.00124
4262,Azaria Chamberlain,Female,no,0,0.00495
4269,Lee Chamberlin,Female,no,76,0.03305
4270,Wendy Chamberlin,Female,yes,66,0.01325
4271,Anne Cox Chambers,Female,yes,95,0.24316
4274,Marilyn Chambers,Female,no,57,0.00547
4276,Nanci Chambers,Female,yes,51,0.0030399999999999997
4281,Violetta Chamorro,Female,yes,85,0.08559
4283,Marge Champion,Female,yes,95,0.24316
4289,Anna Chancellor,Female,yes,49,0.0026100000000000003
4307,Eileen Chang,Female,no,75,0.02998
4308,Iris Chang,Female,no,36,0.0010400000000000001
4310,Carol Channing,Female,yes,93,0.20245
4311,Ruth Channing,Female,yes,106,0.48273999999999995
4312,Stockard Channing,Female,yes,70,0.019119999999999998
4313,Elaine Chao,Female,yes,61,0.00811
4315,Rosalind Chao,Female,yes,57,0.00547
4319,Lauren Chapin,Female,yes,69,0.017419999999999998
